perc_ratio,percussive_loudness,beat_align,mean_ioi_sec,note_shortness,dissonance,spectral_centroid_mean,track_id,split
0.18568435,0.0492317266762256,9.866687774658203,0.2717790146361574,0.8188139902425617,0.3761855661869049,1918.745197053196,Track00655,train
0.27563784,0.0488826408982276,9.358898162841797,0.2617702579607341,0.8254864946928439,0.4409092664718628,1471.967775081304,Track00097,train
0.16688244,0.0447393804788589,11.946430206298828,0.2729881931755468,0.8180078712163021,0.4171618521213531,1975.5545725965933,Track01401,train
0.14094137,0.0246765241026878,6.400765895843506,0.3442393037055142,0.7705071308629905,0.2819905877113342,1394.6511960141986,Track00418,train
0.15255198,0.0330272540450096,9.999608039855955,0.3897380080237223,0.7401746613175184,0.3219863176345825,1392.775280657297,Track00060,train
0.32654396,0.0658466666936874,8.388439178466797,0.3980341623485628,0.7346438917676248,0.4399726688861847,1143.9810577413136,Track00863,train
0.1117773,0.0294253006577491,4.813039302825928,0.7374002830026702,0.5083998113315531,0.3016800284385681,1413.0631397707564,Track01440,train
0.24435717,0.0580629855394363,9.783909797668455,0.2606521669700744,0.826231888686617,0.3917616307735443,1506.940952891442,Track00751,train
0.19356535,0.0460224226117134,9.519015312194824,0.14692972829505,0.9020468478033,0.3697341382503509,2526.819073272404,Track01346,train
0.15554541,0.0438571237027645,9.206884384155272,0.1420368003832357,0.9053087997445096,0.4092552065849304,1694.6844154175874,Track01327,train
0.20917195,0.0481722429394722,6.380970001220703,0.8870915750915751,0.4086056166056165,0.3318673372268677,1090.6730162475333,Track00968,train
0.21746014,0.0402619950473308,11.079584121704102,0.4616061267274206,0.6922625821817197,0.3349060714244842,1247.3022256130882,Track01298,train
0.21013843,0.0323896184563636,12.486916542053224,0.5407921144971086,0.6394719236685942,0.3522984385490417,1957.787194518384,Track00036,train
0.36175996,0.0608344301581382,10.74445343017578,0.309206139730719,0.7938625735128539,0.4814680814743042,1533.0413453625174,Track00294,train
0.09618647,0.0297642853111028,7.846209526062012,0.2135165966272743,0.8576556022484838,0.3092471957206726,1699.43203671871,Track01390,train
0.0985256,0.0331241637468338,10.04138469696045,0.3186801649793775,0.787546556680415,0.26848104596138,1382.3416590422612,Track01069,train
0.30101734,0.0485954023897647,12.836044311523438,0.3417371586315685,0.7721752275789543,0.459256649017334,1517.6385787827876,Track00159,train
0.26035675,0.0597539320588111,3.727925777435303,0.7032643046703435,0.5311571302197711,0.3538607656955719,1604.4481504247758,Track00636,train
0.12969498,0.0369201600551605,10.22544765472412,0.3510724034836864,0.7659517310108758,0.2774682939052582,1600.732402062319,Track01119,train
0.16452384,0.0420737974345684,8.730693817138672,0.3032273017208847,0.7978484655194102,0.3265765309333801,1582.85696829596,Track00867,train
0.16224644,0.0396103002130985,6.273581027984619,0.6476256441970727,0.5682495705352848,0.2737585306167602,1916.4893889974192,Track00747,train
0.24879998,0.0488854609429836,12.802712440490724,0.3490130478420876,0.7673246347719416,0.4900206327438354,1810.6550307860136,Track00473,train
0.19760767,0.0452773310244083,10.002386093139648,0.4345583773224157,0.7102944151183894,0.3210703134536743,967.8994421573574,Track01468,train
0.35004687,0.0705552846193313,10.14678955078125,0.1939636499417246,0.8706909000388503,0.5100373029708862,1286.246639200554,Track01489,train
0.22842225,0.0546683222055435,10.663105964660645,0.2674387355436918,0.8217075096375388,0.4236219823360443,1820.514763794384,Track01118,train
0.24338952,0.0421943366527557,8.914923667907715,0.4316157303118941,0.7122561797920706,0.3703137636184692,1472.8437938919622,Track00941,train
0.23431043,0.045368056744337,11.051671028137209,0.3262961312618206,0.782469245825453,0.4022943377494812,1463.8132503096683,Track00033,train
0.37415028,0.0695453658699989,9.741531372070312,0.2091338772496817,0.8605774151668788,0.4837106168270111,981.4660532547292,Track00493,train
0.089283004,0.0326446145772933,7.266137599945068,0.3514470149552944,0.7657019900298037,0.3195796906948089,1648.7237403194345,Track01398,train
